service,t,x,v,a,P
E502,2381,5.78425233257,29.3517434018,1.01332671694,1573989.98491
E503,2381,7.72973706231,19.6375498514,1.0638563262,1053065.17166
E504,2381,10.155143381,29.1733448403,-0.335715145901,2.72053714431
E506,2381,5.49831910101,49.5692364983,0.509707192595,2000370.24689
E507,2381,0.304199159665,14.1143478755,1.08364188837,756882.94912
E500,2382,1.73178704291,48.7361272693,-0.497708862521,6.73788957413
E501,2382,3.90493423745,27.9371477132,-0.328211524882,2.54702606994
E502,2382,5.79244602317,28.9621592419,-0.334410258375,2.69034532089
E503,2382,7.73572370314,23.4368373444,1.04648220727,1256802.37857
E504,2382,10.1630796388,27.978043438,-0.328454563291,2.55264334421
E506,2382,5.51233516866,51.3059740269,0.456671390863,2000320.48518
E507,2382,0.308255440202,14.243372528,-0.266819865515,1.05567076178
E500,2383,1.74507784008,46.9771406596,-0.479814222432,6.2611945049
E501,2383,3.91267161872,28.9687262783,1.01569887978,1553450.63675
E502,2383,5.80032426022,27.7714082108,-0.327230194786,2.5243453662
E503,2383,7.74275650919,27.1686697263,1.02642961515,1456922.35601
E504,2383,10.1708076598,28.8410373087,1.01648277247,1546603.29762
E505,2383,3.82755523441,3.97509959103,1.10308782976,213164.988208
E506,2383,5.52680822687,52.8645456363,0.410457246257,2000279.55459
E507,2383,0.312175894694,14.959836229,-0.269043796922,1.11801420566
E500,2384,1.75789849694,45.795862594,0.631733112301,2000496.72698
E501,2384,3.92086971479,29.0891453486,-0.335193752098,2.70847215965
E502,2384,5.80811525894,29.479448181,1.01252886317,1580838.17217
E503,2384,7.75081543345,30.8237976902,1.00391951239,1652929.11433
E504,2384,10.1790039669,29.131718031,-0.335457189238,2.71456784677
E505,2384,3.82921302411,7.93816552656,1.09808801263,425684.681839
E506,2384,5.54169199161,54.2671989746,0.369848011119,2000245.38141
E507,2384,0.316196721432,13.9967100385,-0.266079461159,1.03451029584
E500,2385,1.77092457577,47.9389103432,0.56118129245,2000421.51113
E501,2385,3.92878284036,27.8956621335,-0.327965344276,2.54133623207
E502,2385,5.81630424161,28.9201233513,-0.334151655581,2.68436308263
E503,2385,7.75987797417,34.3938036825,0.97919207688,1844371.26511
E504,2385,10.1869287886,27.9373161659,-0.328212525247,2.54704919095
E505,2385,3.83196859529,11.8772793223,1.08981080743,636919.962085
E506,2385,5.55684239385,53.9890269388,-0.555063732639,8.32426411506
E507,2385,0.32016743327,14.7120338727,-0.268262267238,1.09630098955
E500,2386,1.78451237743,49.8476968076,0.501085269129,2000361.94921
E501,2386,3.93653114421,29.0964563857,1.01491126701,1560300.18199
E502,2386,5.82417092922,27.7302741174,-0.326987547598,2.5187373133
E503,2386,7.76991931872,37.8651811435,0.932842368934,2000887.28544
E504,2386,10.1946662569,28.9692115995,1.01569589374,1553476.66217
E505,2386,3.83581366284,15.7808101534,1.078355192,846247.135247
E506,2386,5.57156423087,52.0312215519,-0.533001189088,7.70352859914
E507,2386,0.324119808722,13.7516144239,-0.265356568206,1.01363366967
E500,2387,1.79816405207,48.2584916807,-0.49278468541,6.60584601146
E501,2387,3.9447294132,29.0467428037,-0.334931750721,2.70241011666
E502,2387,5.83197947869,29.6069644164,1.01172872831,1587676.24883
E503,2387,7.78088322159,40.9830614698,0.8053971089,2000707.72058
E504,2387,10.2029481361,30.7839492505,1.00418023089,1650792.2357
E505,2387,3.84073676686,19.6375498514,1.0638563262,1053065.17166
E506,2387,5.58575303717,50.1498465706,-0.512567836978,7.14033288375
E507,2387,0.32814079761,14.4649838929,-0.267496102034,1.07481300204
E500,2388,1.81132458694,46.5165938148,-0.47523762428,6.14067653726
E501,2388,3.95263088916,27.8541732333,-0.327719509851,2.53565444426
E502,2388,5.84016207979,28.8780341515,-0.333893101161,2.67838232729
E503,2388,7.79265415596,43.693797704,0.704681730457,2000580.76684
E504,2388,10.2119997428,34.3549364257,0.979475876543,1842287.00175
E505,2388,3.84672340769,23.4368373444,1.04648220727,1256802.37857
E506,2388,5.59987087226,51.6481613708,0.446419371151,2000311.21337
E507,2388,0.332039599491,14.2114539288,1.08335002305,762090.269567
E500,2389,1.82409628022,46.3831428531,0.612043474771,2000475.14675
E501,2389,3.96039169944,29.2237079214,1.0141231566,1567124.06383
E502,2389,5.84801720315,27.6890865472,-0.326744945323,2.51313029719
E503,2389,7.80513082932,46.0769623942,0.622273504001,2000486.30144
E504,2389,10.2220304547,37.82813952,0.93444460785,2000889.68082
E505,2389,3.85375621374,27.1686697263,1.02642961515,1456922.35601
E506,2389,5.61443405605,53.1721957698,0.401474680572,2000271.8536
E507,2389,0.336096157556,14.2189612694,-0.266746013936,1.05356978915
E500,2390,1.83727614306,48.4610044009,0.544505296558,2000404.57593
E501,2390,3.9685883839,29.0040025648,-0.33466804954,2.69630915756
E502,2390,5.85584490202,29.734209489,1.01092684944,1594499.78442
